"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.483007352E2,-7.781155407E-3,3.711012751E-2,9.948506355E0
2.483027455E2,-3.172317147E-2,4.668693244E-2,9.938929558E0
2.483047558E2,-3.172317147E-2,3.711012751E-2,9.929352760E0
2.483067660E2,-2.992752008E-3,1.795651205E-2,9.934141159E0
2.483087763E2,1.137245819E-2,1.795651205E-2,9.910199165E0
2.483107865E2,2.573766746E-2,1.795651205E-2,9.895833969E0
2.483127968E2,3.531447425E-2,2.753331885E-2,9.910199165E0
2.483148071E2,3.052607179E-2,4.189852998E-2,9.934141159E0
2.483168173E2,2.094926499E-2,5.147533491E-2,9.938929558E0
2.483188276E2,1.616086066E-2,3.711012751E-2,9.924564362E0
2.483208378E2,3.052607179E-2,4.189852998E-2,9.895833969E0
2.483228481E2,6.584054790E-3,4.668693244E-2,9.910199165E0
2.483248584E2,1.795651275E-3,3.711012751E-2,9.900622368E0
2.483268686E2,6.584054790E-3,2.753331885E-2,9.934141159E0
2.483288789E2,1.795651275E-3,8.379706182E-3,9.953294754E0
2.483308891E2,1.795651275E-3,8.379706182E-3,9.991601944E0
2.483328994E2,1.795651275E-3,2.274491638E-2,9.938929558E0
2.483349097E2,-2.992752008E-3,3.711012751E-2,9.934141159E0
2.483369199E2,1.616086066E-2,3.711012751E-2,9.910199165E0
2.483389302E2,3.052607179E-2,4.668693244E-2,9.891045570E0
2.483409404E2,2.573766746E-2,4.189852998E-2,9.886257172E0
2.483429507E2,3.052607179E-2,4.668693244E-2,9.924564362E0
2.483449610E2,2.094926499E-2,4.668693244E-2,9.934141159E0
2.483469712E2,6.584054790E-3,2.274491638E-2,9.943717957E0
2.483489815E2,-1.735796221E-2,1.316810958E-2,9.948506355E0
2.483509917E2,6.584054790E-3,4.668693244E-2,9.938929558E0
2.483530020E2,-1.256955881E-2,1.795651205E-2,9.914987564E0
2.483550123E2,6.584054790E-3,2.274491638E-2,9.929352760E0
2.483570225E2,1.616086066E-2,3.232172132E-2,9.929352760E0
2.483590328E2,2.094926499E-2,3.711012751E-2,9.924564362E0
2.483610430E2,1.137245819E-2,2.274491638E-2,9.905410767E0
2.483630533E2,3.531447425E-2,3.232172132E-2,9.929352760E0
2.483650636E2,2.573766746E-2,3.711012751E-2,9.938929558E0
2.483670738E2,3.531447425E-2,3.232172132E-2,9.914987564E0
2.483690841E2,4.489128292E-2,1.795651205E-2,9.905410767E0
2.483710943E2,4.489128292E-2,2.753331885E-2,9.910199165E0
2.483731046E2,6.584054790E-3,2.274491638E-2,9.934141159E0
2.483751149E2,-2.214636654E-2,1.795651205E-2,9.948506355E0
2.483771251E2,-4.608838260E-2,4.189852998E-2,9.948506355E0
2.483791354E2,-4.608838260E-2,3.232172132E-2,9.943717957E0
2.483811456E2,-1.735796221E-2,4.668693244E-2,9.943717957E0
2.483831559E2,1.616086066E-2,3.711012751E-2,9.924564362E0
2.483851662E2,4.010287672E-2,5.626374111E-2,9.910199165E0
2.483871764E2,6.404489279E-2,2.753331885E-2,9.881468773E0
2.483891867E2,5.925649032E-2,1.795651205E-2,9.891045570E0
2.483911969E2,1.616086066E-2,4.668693244E-2,9.929352760E0
2.483932072E2,-2.992752008E-3,4.189852998E-2,9.953294754E0
2.483952175E2,-1.735796221E-2,4.668693244E-2,9.938929558E0
2.483972277E2,-7.781155407E-3,4.668693244E-2,9.953294754E0
2.483992380E2,6.584054790E-3,3.711012751E-2,9.943717957E0
2.484012483E2,2.573766746E-2,2.753331885E-2,9.924564362E0
2.484032585E2,4.489128292E-2,1.795651205E-2,9.934141159E0
2.484052688E2,3.052607179E-2,3.232172132E-2,9.919775963E0
2.484072790E2,1.795651275E-3,1.795651205E-2,9.924564362E0
2.484092893E2,-7.781155407E-3,2.274491638E-2,9.943717957E0
2.484112996E2,-2.214636654E-2,4.189852998E-2,9.943717957E0
2.484133098E2,-3.172317147E-2,5.147533491E-2,9.929352760E0
2.484153201E2,6.584054790E-3,5.626374111E-2,9.924564362E0
2.484173303E2,4.489128292E-2,4.668693244E-2,9.867103577E0
2.484193406E2,4.967968538E-2,2.753331885E-2,9.847949982E0
2.484213509E2,6.404489279E-2,2.274491638E-2,9.895833969E0
2.484233611E2,3.531447425E-2,8.379706182E-3,9.943717957E0
