"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.661998620E-1,1.965280482E-2,1.387106348E-2,3.051639497E-1,9.519959688E-1,1.777478095E2,3.556564680E1,-8.259895530E-1,1.773698047E2
5.711998620E-1,2.076414721E-2,1.415352803E-2,3.063940704E-1,9.515730143E-1,1.776204330E2,3.571539480E1,-8.143269221E-1,1.772375491E2
5.761998620E-1,2.096667404E-2,1.398260705E-2,3.074645400E-1,9.512257576E-1,1.775972201E2,3.584381516E1,-7.854474304E-1,1.772205833E2
5.811998620E-1,2.157609058E-2,1.380795613E-2,3.084111512E-1,9.509081841E-1,1.775273703E2,3.595760469E1,-7.420917979E-1,1.771595458E2
5.861998620E-1,2.155993402E-2,1.334917545E-2,3.092297912E-1,9.506492019E-1,1.775292221E2,3.605463502E1,-6.902485349E-1,1.771769624E2
5.911998620E-1,2.211025416E-2,1.309176441E-2,3.098855615E-1,9.504265785E-1,1.774661450E2,3.613307885E1,-6.407076322E-1,1.771256759E2
5.961998620E-1,2.214150269E-2,1.267281454E-2,3.103997111E-1,9.502637386E-1,1.774625633E2,3.619362916E1,-5.924260076E-1,1.771368568E2
6.011998620E-1,2.261891702E-2,1.230409555E-2,3.107650876E-1,9.501379132E-1,1.774078420E2,3.623664674E1,-5.341668872E-1,1.770977736E2
6.061998620E-1,2.251508227E-2,1.168139838E-2,3.109680712E-1,9.500818253E-1,1.774197436E2,3.625898416E1,-4.694653940E-1,1.771311990E2
6.111998620E-1,2.269223374E-2,1.110315789E-2,3.111293018E-1,9.500317574E-1,1.773994383E2,3.627658303E1,-3.997139276E-1,1.771324706E2
6.161998620E-1,2.209378653E-2,1.018357091E-2,3.112584054E-1,9.500138760E-1,1.774680325E2,3.628902984E1,-3.205895390E-1,1.772304464E2
6.211998620E-1,2.166873908E-2,9.255352430E-3,3.113225400E-1,9.500121474E-1,1.775167511E2,3.629383462E1,-2.345386764E-1,1.773098731E2
