Time (s),Illuminance (lx),Location
39.40838666,26.36250114,Costa Coffee (Evening)
39.60837484,27.8125,Costa Coffee (Evening)
39.80838499,30.85000038,Costa Coffee (Evening)
40.00836515,32.1875,Costa Coffee (Evening)
40.20837984,32.13750076,Costa Coffee (Evening)
40.40836098,32.9375,Costa Coffee (Evening)
40.60837713,33.48749924,Costa Coffee (Evening)
40.80835661,33.78750229,Costa Coffee (Evening)
41.00836916,33.08750153,Costa Coffee (Evening)
41.20835166,32.28750229,Costa Coffee (Evening)
41.40836802,33.23749924,Costa Coffee (Evening)
41.60834791,37.97500229,Costa Coffee (Evening)
41.80836432,62.98749924,Costa Coffee (Evening)
42.00834312,68.86250305,Costa Coffee (Evening)
42.20835484,59.45000076,Costa Coffee (Evening)
42.40833942,53.625,Costa Coffee (Evening)
42.60835494,66.17500305,Costa Coffee (Evening)
42.80833676,76.78749847,Costa Coffee (Evening)
43.00835015,74.05000305,Costa Coffee (Evening)
43.20833057,74.84999847,Costa Coffee (Evening)
43.40835697,76.08750153,Costa Coffee (Evening)
43.6083301,75.84999847,Costa Coffee (Evening)
43.80834156,76.28749847,Costa Coffee (Evening)
44.00832229,78.4375,Costa Coffee (Evening)
44.20833572,80.02500153,Costa Coffee (Evening)
44.40831968,80.125,Costa Coffee (Evening)
44.60833228,76.58750153,Costa Coffee (Evening)
44.80831416,73.95000458,Costa Coffee (Evening)
45.0083265,73.80000305,Costa Coffee (Evening)
45.20831505,76.58750153,Costa Coffee (Evening)
45.40832499,78.63750458,Costa Coffee (Evening)
45.6083201,81.22499847,Costa Coffee (Evening)
45.8083227,97.17500305,Costa Coffee (Evening)
46.00831124,94.38750458,Costa Coffee (Evening)
46.20830052,96.77500153,Costa Coffee (Evening)
46.40830739,110.125,Costa Coffee (Evening)
46.60831489,106.4875031,Costa Coffee (Evening)
46.80833072,102.3000031,Costa Coffee (Evening)
47.00830593,105.25,Costa Coffee (Evening)
47.20831218,103.25,Costa Coffee (Evening)
47.40830468,91.4375,Costa Coffee (Evening)
47.60831088,84.16249847,Costa Coffee (Evening)
47.8083015,81.875,Costa Coffee (Evening)
48.00830078,80.82500458,Costa Coffee (Evening)
48.20828031,81.47499847,Costa Coffee (Evening)
48.4082927,82.97499847,Costa Coffee (Evening)
48.60827432,82.02500153,Costa Coffee (Evening)
48.80829697,80.125,Costa Coffee (Evening)
49.00827156,75.25,Costa Coffee (Evening)
49.20828588,74.95000458,Costa Coffee (Evening)
49.40826864,80.92500305,Costa Coffee (Evening)
49.60828249,98.125,Costa Coffee (Evening)
49.80827119,120.4500046,Costa Coffee (Evening)
50.0082777,116.0125046,Costa Coffee (Evening)
50.20825958,109.4250031,Costa Coffee (Evening)
50.40827239,115.9124985,Costa Coffee (Evening)
50.60826598,149.6500092,Costa Coffee (Evening)
50.80827202,169.3249969,Costa Coffee (Evening)
51.00825203,165.2375031,Costa Coffee (Evening)
51.20826812,149.9499969,Costa Coffee (Evening)
51.40824864,129.6125031,Costa Coffee (Evening)
51.60826046,128.3125,Costa Coffee (Evening)
51.80824317,110.7249985,Costa Coffee (Evening)
52.00826041,111.9749985,Costa Coffee (Evening)
52.20823859,137.3375092,Costa Coffee (Evening)
52.40825729,128.2125092,Costa Coffee (Evening)
52.60823478,127.2249985,Costa Coffee (Evening)
52.80825218,135.25,Costa Coffee (Evening)
53.00823203,151.7375031,Costa Coffee (Evening)
53.20824916,154.4750061,Costa Coffee (Evening)
53.4082289,147.9499969,Costa Coffee (Evening)
53.60824052,163.1000061,Costa Coffee (Evening)
53.8082239,179.1500092,Costa Coffee (Evening)
54.00823854,145.1125031,Costa Coffee (Evening)
54.20822052,63.58750153,Costa Coffee (Evening)
54.40823614,33.78750229,Costa Coffee (Evening)
54.60821708,32.58750153,Costa Coffee (Evening)
54.80823057,34.9375,Costa Coffee (Evening)
55.00821244,21.77499962,Costa Coffee (Evening)
55.20822729,11.36250019,Costa Coffee (Evening)
55.40820755,12.76249981,Costa Coffee (Evening)
55.60822604,14.90000057,Costa Coffee (Evening)
55.80820291,15.5,Costa Coffee (Evening)
56.00821968,15.40000057,Costa Coffee (Evening)
56.20819947,15.44999981,Costa Coffee (Evening)
56.40821203,15.0,Costa Coffee (Evening)
56.60819656,15.5,Costa Coffee (Evening)
56.80820833,39.66250229,Costa Coffee (Evening)
57.00819145,52.875,Costa Coffee (Evening)
57.20820312,43.29999924,Costa Coffee (Evening)
57.40818734,40.36249924,Costa Coffee (Evening)
57.60820249,35.13750076,Costa Coffee (Evening)
57.80818364,31.73750114,Costa Coffee (Evening)
58.00819802,44.04999924,Costa Coffee (Evening)
58.20817744,50.72500229,Costa Coffee (Evening)
58.40819244,53.02500153,Costa Coffee (Evening)
58.60818494,91.83750153,Costa Coffee (Evening)
58.80818947,145.8125,Costa Coffee (Evening)
59.008179,173.3625031,Costa Coffee (Evening)
59.20818145,199.9250031,Costa Coffee (Evening)
59.40816567,284.3374939,Costa Coffee (Evening)
59.60817999,257.6375122,Costa Coffee (Evening)
59.80817765,197.8375092,Costa Coffee (Evening)
60.008159,179.9375,Costa Coffee (Evening)
60.20821536,147.8000031,Costa Coffee (Evening)
60.40817312,113.0250015,Costa Coffee (Evening)
60.60816958,113.125,Costa Coffee (Evening)
60.80816775,121.3375015,Costa Coffee (Evening)
61.00816729,123.2874985,Costa Coffee (Evening)
61.20816302,126.1750031,Costa Coffee (Evening)
61.40815838,128.5625,Costa Coffee (Evening)
61.60815765,112.9250031,Costa Coffee (Evening)
61.80815536,84.5625,Costa Coffee (Evening)
62.00813843,110.2249985,Costa Coffee (Evening)
62.20815453,154.4750061,Costa Coffee (Evening)
62.40813411,146.3625031,Costa Coffee (Evening)
62.60815145,137.7375031,Costa Coffee (Evening)
62.8081326,136.3375092,Costa Coffee (Evening)
63.00814697,134.9000092,Costa Coffee (Evening)
63.20812619,141.875,Costa Coffee (Evening)
63.40814546,143.0625,Costa Coffee (Evening)
63.60813343,154.9750061,Costa Coffee (Evening)
63.80813604,169.7750092,Costa Coffee (Evening)
64.00811942,165.0,Costa Coffee (Evening)
64.20813036,170.2750092,Costa Coffee (Evening)
64.40811447,187.6125031,Costa Coffee (Evening)
64.60812947,186.9750061,Costa Coffee (Evening)
64.80811031,188.0124969,Costa Coffee (Evening)
65.00812671,226.2875061,Costa Coffee (Evening)
65.20810687,263.7124939,Costa Coffee (Evening)
65.40812083,242.5375061,Costa Coffee (Evening)
65.60810656,246.2750092,Costa Coffee (Evening)
65.80811911,243.7250061,Costa Coffee (Evening)
66.00809854,206.1500092,Costa Coffee (Evening)
66.20811296,167.9375,Costa Coffee (Evening)
