"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.654550680E-1,1.274321675E-1,-9.214530140E-2,-6.604634225E-2
5.674652250E-1,1.412805915E-1,-9.214530140E-2,-7.563371956E-2
5.694753810E-1,1.519332230E-1,-9.640636295E-2,-8.415582776E-2
5.714855370E-1,1.615206003E-1,-9.960214794E-2,-9.267793596E-2
5.734956930E-1,1.700427085E-1,-1.049284711E-1,-1.022653133E-1
5.755058500E-1,1.796300858E-1,-1.081242561E-1,-1.086568907E-1
5.775160060E-1,1.860216707E-1,-1.070589945E-1,-1.150484756E-1
5.795261620E-1,1.924132407E-1,-1.091895252E-1,-1.193095297E-1
5.815363180E-1,1.977395564E-1,-1.102547869E-1,-1.246358454E-1
5.835464750E-1,2.030658871E-1,-1.166463718E-1,-1.257011145E-1
5.855566310E-1,2.094574571E-1,-1.177116334E-1,-1.288969070E-1
5.875667870E-1,2.137185186E-1,-1.187768951E-1,-1.278316379E-1
5.895769430E-1,2.190448344E-1,-1.177116334E-1,-1.246358454E-1
5.915871000E-1,2.222406268E-1,-1.134505793E-1,-1.225053221E-1
5.935972560E-1,2.286322117E-1,-1.102547869E-1,-1.203747913E-1
5.956074120E-1,2.339585274E-1,-9.960214794E-2,-1.182442605E-1
5.976175680E-1,2.360890508E-1,-9.427583218E-2,-1.171789989E-1
5.996277250E-1,2.392848432E-1,-8.788424730E-2,-1.161137372E-1
6.016378810E-1,2.382195890E-1,-8.255793154E-2,-1.203747913E-1
6.036480370E-1,2.371543199E-1,-7.829687744E-2,-1.235705838E-1
6.056581930E-1,2.350237966E-1,-7.297056168E-2,-1.288969070E-1
6.076683500E-1,2.286322117E-1,-6.764423847E-2,-1.342232227E-1
6.096785060E-1,2.222406268E-1,-6.231792271E-2,-1.406148076E-1
6.116886620E-1,2.094574571E-1,-5.912213027E-2,-1.470063776E-1
6.136988180E-1,2.030658871E-1,-5.273054913E-2,-1.544632316E-1
6.157089750E-1,1.924132407E-1,-4.740423337E-2,-1.597895473E-1
6.177191310E-1,1.796300858E-1,-3.888212144E-2,-1.672463864E-1
6.197292870E-1,1.657816470E-1,-3.142527863E-2,-1.736379713E-1
6.217394430E-1,1.551290154E-1,-2.716422267E-2,-1.778990328E-1
6.237496000E-1,1.423458606E-1,-2.503369562E-2,-1.810948253E-1
6.257597560E-1,1.284974217E-1,-2.503369562E-2,-1.832253486E-1
6.277699120E-1,1.178447902E-1,-2.396843210E-2,-1.864211410E-1
6.297800680E-1,1.061268896E-1,-2.609895915E-2,-1.864211410E-1
6.317902250E-1,9.440898895E-2,-3.036001325E-2,-1.874863952E-1
6.338003810E-1,8.588688076E-2,-3.142527863E-2,-1.885516644E-1
6.358105370E-1,7.843003422E-2,-3.462106735E-2,-1.864211410E-1
6.378206930E-1,7.097318769E-2,-3.675159439E-2,-1.885516644E-1
6.398308500E-1,6.458161026E-2,-3.888212144E-2,-1.917474568E-1
6.418410060E-1,6.032055244E-2,-3.888212144E-2,-1.938779801E-1
6.438511620E-1,5.712476373E-2,-3.994738683E-2,-1.981390417E-1
6.458613180E-1,5.073318258E-2,-3.888212144E-2,-2.013348341E-1
6.478714750E-1,5.073318258E-2,-3.888212144E-2,-2.066611499E-1
6.498816310E-1,4.860265180E-2,-3.994738683E-2,-2.087916732E-1
6.518917870E-1,4.753739014E-2,-4.314317927E-2,-2.119874656E-1
6.539019430E-1,4.434159771E-2,-4.953476042E-2,-2.141179889E-1
